agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
120,113369.4,103.0,134,135,1758874977146,false
121,113314.4,22.0,136,136,1758874977148,true
122,113378.5,11.0,137,137,1758874977152,false
123,113323.5,92.0,138,138,1758874977155,true
124,113363.1,103.0,139,140,1758874977156,false
125,113323.5,11.0,141,141,1758874977158,true
126,113372.2,92.0,142,142,1758874977159,false
127,113314.4,33.0,143,143,1758874977161,true
128,113363.0,92.0,144,144,1758874977163,false
129,113324.2,92.0,145,145,1758874977165,true
130,113363.0,11.0,146,146,1758874977167,false
131,113324.2,11.0,147,147,1758874977169,true
132,113372.2,11.0,148,148,1758874977171,false
133,113314.4,70.0,149,149,1758874977171,true
134,113314.4,22.0,150,151,1758874977172,false
135,113387.6,92.0,152,152,1758874977175,false
136,113305.2,11.0,153,153,1758874977175,true
137,113363.0,103.0,154,155,1758874977182,false
138,113372.1,103.0,156,157,1758874977186,false
139,113387.6,11.0,158,158,1758874977190,false
140,113407.3,59.0,159,159,1758874977190,false
141,113369.9,103.0,160,161,1758874977199,false
142,113379.0,103.0,162,163,1758874977203,false
143,113396.7,103.0,164,165,1758874977207,false
144,113407.3,44.0,166,166,1758874977211,false
145,113427.7,15.0,167,167,1758874977211,false
146,113376.6,11.0,168,168,1758874977215,false
147,113333.3,1.0,169,169,1758874979560,true
148,113333.4,1.0,170,170,1758874983927,true
149,113351.6,1.0,171,171,1758874988285,true
150,113376.7,1.0,172,172,1758874992651,true
151,113385.8,1.0,173,173,1758874995506,true
152,113385.8,1.0,174,174,1758874996072,true
153,113385.8,1.0,175,175,1758874997014,true
154,113385.8,1.0,176,176,1758874997869,true
155,113394.9,1.0,177,177,1758875001377,true
156,113413.1,1.0,178,178,1758875007054,true
157,113413.1,1.0,179,179,1758875011318,true
158,113413.1,1.0,180,180,1758875011423,true
159,113413.1,1.0,181,181,1758875012142,true
160,113394.9,31.0,182,185,1758875013583,true
161,113394.9,1.0,186,186,1758875014087,true
162,113394.9,1.0,187,187,1758875015778,true
163,113394.9,1.0,188,188,1758875020137,true
164,113385.8,1.0,189,189,1758875024524,true
165,113385.8,1.0,190,190,1758875026923,true
166,113385.8,1.0,191,191,1758875028887,true
167,113385.8,1.0,192,192,1758875029705,true
168,113394.9,31.0,193,194,1758875033202,true
169,113404.6,30.0,195,195,1758875034645,true
170,113404.6,30.0,196,196,1758875035002,true
171,113450.5,103.0,197,197,1758875035585,false
172,113459.6,103.0,198,198,1758875035585,false
173,113468.7,103.0,199,199,1758875035585,false
174,113489.2,103.0,200,200,1758875035585,false
175,113509.7,125.0,201,202,1758875035585,false
176,113530.2,29.0,203,203,1758875035585,false
177,113404.6,1.0,204,204,1758875038923,true
178,113423.8,81.0,205,205,1758875041069,true
179,113423.8,1.0,206,206,1758875042677,true
180,113423.8,1.0,207,207,1758875043291,true
181,113433.0,1.0,208,208,1758875045231,true
182,113433.0,84.0,209,209,1758875045530,true
183,113423.8,20.0,210,210,1758875047245,true
184,113414.2,84.0,211,212,1758875048651,true
185,113414.2,19.0,213,213,1758875049120,true
186,113404.6,1.0,214,214,1758875050090,true
187,113404.6,1.0,215,215,1758875050208,true
188,113404.6,40.0,216,216,1758875051315,true
189,113394.9,1.0,217,217,1758875051352,true
