id,price,qty,base_qty,time,is_buyer_maker
586875,113422.8,1.0,8.81656950,1761264738049,false
586876,113441.6,9.0,0.00793359,1761264738067,true
586877,113405.3,1.0,8.81793002,1761264741124,true
586878,113405.3,21.0,0.01851765,1761264741125,true
586879,113405.3,1.0,8.81793002,1761264741125,true
586880,113382.4,103.0,0.09084302,1761264741175,false
586881,113384.8,10.0,0.00881952,1761264741175,false
586882,113365.4,9.0,0.00793893,1761264741864,true
586883,113365.4,6.0,0.00529262,1761264741864,true
586884,113365.4,2.0,0.00176420,1761264741864,true
586885,113365.4,1.0,8.82103357,1761264741864,true
586886,113351.9,8.0,0.00705766,1761264743427,false
586887,113351.9,1.0,8.82208414,1761264743427,false
586888,113402.1,78.0,0.06878179,1761264754188,true
586889,113402.1,35.0,0.03086362,1761264754189,true
586890,113406.9,20.0,0.01763561,1761264760804,true
586891,113406.9,88.0,0.07759668,1761264760806,true
586892,113385.2,1.0,8.81949319,1761264780570,false
586893,113373.5,1.0,8.82040335,1761264817835,true
586894,113367.4,56.0,0.04939691,1761264817842,true
586895,113352.4,29.0,0.02558393,1761264818536,false
586896,113352.4,1.0,8.82204523,1761264818536,false
586897,113373.9,1.0,8.82037223,1761264823579,false
586898,113388.3,1.0,8.81925207,1761264868039,false
586899,113407.7,1.0,8.81774341,1761264874428,false
586900,113419.0,1.0,8.81686489,1761264893339,true
586901,113407.6,43.0,0.03791633,1761264898215,true
586902,113407.6,2.0,0.00176355,1761264898226,true
586903,113407.6,10.0,0.00881775,1761264898226,true
586904,113407.6,6.0,0.00529065,1761264898226,true
586905,113407.6,1.0,8.81775119,1761264898227,true
586906,113407.6,1.0,8.81775119,1761264898229,true
586907,113407.6,44.0,0.03879810,1761264898230,true
586908,113407.6,5.0,0.00440887,1761264900055,true
586909,113407.6,1.0,8.81775119,1761264900055,true
586910,113385.1,56.0,0.04938920,1761264900816,true
586911,113385.1,1.0,8.81950097,1761264900821,true
586912,113361.4,1.0,8.82134483,1761264902057,false
586913,113385.2,1.0,8.81949319,1761264904006,false
586914,113385.0,1.0,8.81950875,1761264916379,false
586915,113419.0,1.0,8.81686489,1761264922431,false
586916,113407.1,1.0,8.81779006,1761264960055,false
586917,113428.2,1.0,8.81614977,1761264961512,true
586918,113392.6,29.0,0.02557486,1761264991266,false
586919,113394.6,1.0,8.81876209,1761264991266,false
586920,113394.7,250.0,0.22046885,1761264991266,false
586921,113337.7,1.0,8.82318945,1761265030517,false
586922,113352.6,1.0,8.82202966,1761265031604,false
586923,113352.6,1.0,8.82202966,1761265031605,false
586924,113363.3,1.0,8.82119698,1761265047845,false
586925,113363.4,1.0,8.82118920,1761265047845,false
586926,113364.0,1.0,8.82114251,1761265118286,false
586927,113378.4,1.0,8.82002215,1761265124873,false
586928,113441.5,1.0,8.81511616,1761265143526,true
586929,113441.5,20.0,0.01763023,1761265144381,true
586930,113441.5,29.0,0.02556383,1761265144381,true
586931,113441.5,1.0,8.81511616,1761265144381,true
586932,113441.5,13.0,0.01145965,1761265144381,true
586933,113441.5,1.0,8.81511616,1761265146242,true
586934,113431.3,14.0,0.01234227,1761265147092,false
586935,113431.3,29.0,0.02556613,1761265147092,false
586936,113435.4,169.0,0.14898347,1761265147095,false
586937,113440.9,61.0,0.05377249,1761265147095,false
586938,113441.6,1.0,8.81510839,1761265147099,false
586939,113464.6,4.0,0.00352532,1761265147128,false
586940,113472.3,1.0,8.81272345,1761265147164,false
586941,113475.6,1.0,8.81246717,1761265147165,false
586942,113486.9,1.0,8.81158970,1761265147174,false
586943,113498.2,1.0,8.81071241,1761265147267,false
586944,113501.8,3.0,0.00264312,1761265147272,false
586945,113505.5,1.0,8.81014576,1761265147333,false
586946,113515.6,1.0,8.80936188,1761265149199,false
586947,113537.1,9.0,0.00792692,1761265150045,false
586948,113537.1,1.0,8.80769369,1761265150048,false
586949,113537.1,1.0,8.80769369,1761265151041,false
586950,113542.2,1.0,8.80729807,1761265151043,false
586951,113542.2,1.0,8.80729807,1761265151044,false
586952,113542.2,1.0,8.80729807,1761265151044,false
586953,113542.2,2.0,0.00176145,1761265151045,false
586954,113538.4,1.0,8.80759284,1761265151775,false
586955,113538.4,1.0,8.80759284,1761265151775,false
586956,113565.9,1.0,8.80546008,1761265164037,false
586957,113566.0,1.0,8.80545233,1761265164037,false
586958,113594.1,1.0,8.80327411,1761265167426,false
586959,113596.0,1.0,8.80312687,1761265167445,false
586960,113601.2,1.0,8.80272391,1761265169093,true
586961,113601.2,1.0,8.80272391,1761265169191,true
586962,113585.8,1.0,8.80391739,1761265169595,true
586963,113559.3,1.0,8.80597185,1761265172827,false
586964,113577.3,1.0,8.80457626,1761265192679,false
586965,113584.3,1.0,8.80403365,1761265210866,true
586966,113584.3,1.0,8.80403365,1761265210872,true
586967,113584.3,1.0,8.80403365,1761265210873,true
586968,113584.3,1.0,8.80403365,1761265210888,true
586969,113584.3,12.0,0.01056484,1761265213372,true
586970,113584.3,2.0,0.00176080,1761265213373,true
586971,113584.3,1.0,8.80403365,1761265213373,true
586972,113584.3,1.0,8.80403365,1761265213373,true
586973,113584.3,1.0,8.80403365,1761265213374,true
586974,113584.3,11.0,0.00968443,1761265213374,true
586975,113584.3,8.0,0.00704322,1761265213374,true
586976,113584.3,73.0,0.06426944,1761265213374,true
586977,113584.3,1.0,8.80403365,1761265213374,true
586978,113565.9,1.0,8.80546008,1761265230993,false
586979,113577.3,1.0,8.80457626,1761265232384,false
